main_url,link_text,checked_url,status
https://www.webopedia.com/definitions/computer/,about the author,https://www.webopedia.com/author/vangie-beal/,Form found ✅
https://www.webopedia.com/definitions/computer/,contact,https://www.webopedia.com/contact/,Form found ✅
https://www.webopedia.com/definitions/computer/,about us,https://www.webopedia.com/about/,Form found ✅
"https://www.youngwonks.com/blog/features-of-a-computer#:~:text=Computers%20showcase%20remarkable%20versatility%2C%20adapting%20to%20a,computers%20makes%20them%20indispensable%20in%20various%20fields.",about,https://www.youngwonks.com/welcome/aboutus,Form found ✅
https://en.wikipedia.org/wiki/Computer_hardware,about wikipedia,https://en.wikipedia.org/wiki/Wikipedia:About,Form found ✅
https://en.wikipedia.org/wiki/Computer_hardware,contact wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Contact_us,Form found ✅
https://greenwoodhigh.edu.in/computer-full-form-explained/#:~:text=These%20display%20the%20results%20from%20the%20computer.%20Examples%20include%20monitors%2C%20printers%2C%20and%20speakers.,top facts about the longest river in the world,https://greenwoodhigh.edu.in/top-facts-about-the-longest-river-in-the-world/,Form found ✅
https://greenwoodhigh.edu.in/computer-full-form-explained/#:~:text=These%20display%20the%20results%20from%20the%20computer.%20Examples%20include%20monitors%2C%20printers%2C%20and%20speakers.,about the school,https://greenwoodhigh.edu.in/about/greenwood-high-international/,Form found ✅
https://greenwoodhigh.edu.in/computer-full-form-explained/#:~:text=These%20display%20the%20results%20from%20the%20computer.%20Examples%20include%20monitors%2C%20printers%2C%20and%20speakers.,about management,https://greenwoodhigh.edu.in/about/management/,Form found ✅
https://www.just.edu.jo/~mqais/CIS99/PDF/Ch.01_Introduction_%20to_computers.pdf,,,No link found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=0,,,No link found ❌
"https://en.wikipedia.org/wiki/Computer#:~:text=A%20computer%20is%20a%20machine,computer%20network%20or%20computer%20cluster.",point-contact transistor,https://en.wikipedia.org/wiki/Point-contact_transistor,Form found ✅
"https://en.wikipedia.org/wiki/Computer#:~:text=A%20computer%20is%20a%20machine,computer%20network%20or%20computer%20cluster.",list of films about computers,https://en.wikipedia.org/wiki/List_of_films_about_computers,Form found ✅
"https://en.wikipedia.org/wiki/Computer#:~:text=A%20computer%20is%20a%20machine,computer%20network%20or%20computer%20cluster.",about wikipedia,https://en.wikipedia.org/wiki/Wikipedia:About,Form found ✅
"https://en.wikipedia.org/wiki/Computer#:~:text=A%20computer%20is%20a%20machine,computer%20network%20or%20computer%20cluster.",contact wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Contact_us,Form found ✅
https://www.youtube.com/watch?v=Cu3R5it4cQs&t=0,,,No link found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=903,,,"Main Page Error: Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=139.0.7258.128); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#staleelementreferenceexception
Stacktrace:
	GetHandleVerifier [0x0xddffc3+65331]
	GetHandleVerifier [0x0xde0004+65396]
	(No symbol) [0x0xbd3f63]
	(No symbol) [0x0xbda750]
	(No symbol) [0x0xbdca7a]
	(No symbol) [0x0xbdcaf7]
	(No symbol) [0x0xc176be]
	(No symbol) [0x0xc414dc]
	(No symbol) [0x0xc120d4]
	(No symbol) [0x0xc41754]
	(No symbol) [0x0xc62bcb]
	(No symbol) [0x0xc412d6]
	(No symbol) [0x0xc10910]
	(No symbol) [0x0xc11784]
	GetHandleVerifier [0x0x10238b3+2439203]
	GetHandleVerifier [0x0x101eae2+2419282]
	GetHandleVerifier [0x0xe0712a+225434]
	GetHandleVerifier [0x0xdf6e08+159096]
	GetHandleVerifier [0x0xdfdd5d+187597]
	GetHandleVerifier [0x0xde7ad8+96840]
	GetHandleVerifier [0x0xde7c62+97234]
	GetHandleVerifier [0x0xdd277a+9962]
	BaseThreadInitThunk [0x0x76a1fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x779d82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x779d827e+238]
"
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=135,,,No link found ❌
"https://www.britannica.com/technology/computer#:~:text=A%20computer%20is%20a%20machine,weighing%20more%20than%20300%20tons.",what do you actually know about the internet?,https://www.britannica.com/quiz/what-do-you-actually-know-about-the-internet,Form found ✅
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=690,,,No link found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=827,,,No link found ❌
https://www.youtube.com/watch?v=mCq8-xTH7jA&t=265,,,No link found ❌
https://www.youtube.com/watch?v=mCq8-xTH7jA&t=5,,,No link found ❌
https://www.youtube.com/watch?v=mCq8-xTH7jA&t=182,,,No link found ❌
"https://askfilo.com/user-question-answers-smart-solutions/question-collect-the-picture-of-computer-and-type-of-3335363131373731#:~:text=Types%20of%20Computers%20with%20Descriptions%20A%20powerful,web%20hosting%2C%20database%20management%2C%20and%20enterprise%20applications.",about us,https://askfilo.com/about-us,No form ❌
"https://askfilo.com/user-question-answers-smart-solutions/question-collect-the-picture-of-computer-and-type-of-3335363131373731#:~:text=Types%20of%20Computers%20with%20Descriptions%20A%20powerful,web%20hosting%2C%20database%20management%2C%20and%20enterprise%20applications.",contact us,https://askfilo.com/contact-us,Form found ✅
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=609,,,No link found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=116,,,No link found ❌
"https://kids.britannica.com/kids/article/computer/352990#:~:text=A%20computer%20is%20a,from%20all%20over%20the%20world.",,,No link found ❌
"https://medicine.uodiyala.edu.iq/wp-content/uploads/2025/02/Lec1-Introduction-to-Computers.pdf#:~:text=organizations%20to%20process%20large%20amounts%20of%20data.,the%20calculator%2C%20and%20progressed%20through%20several%20generations:",,,No link found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=205,,,No link found ❌
https://www.youtube.com/watch?v=CxGSnA-RTsA&pp=0gcJCf8Ao7VqN5tD&t=398,,,No link found ❌
"https://www.vedantu.com/coding-for-kids/types-of-computer#:~:text=Personal%20Computers%20(PC)%20Among%20the%20many%20types,of%20capabilities%20to%20meet%20daily%20computing%20needs.",about us,https://www.vedantu.com/v/about-us?utm_source=SEO&utm_medium=Footer&utm_campaign=SEO&utm_content=Study_Materials,Form found ✅
